feature_id,reflection,bin_key,center_row,center_col,detector_x,detector_y,peak_intensity,mean_snr,n_bins,spatial_extent,reason
187,ITO,48_50,48,50,215,247,17.0,7.4,4,46_50 47_51 48_50 48_51,"Gaussian-like: 100% monotonic, 4 bins"
188,(001),49_0,49,0,1018,336,21.0,10.4,11,47_0 47_1 48_0 48_1 49_0 49_1 49_2 50_0 50_1 51_0 51_1,"Gaussian-like: 79% monotonic, 11 bins"
189,(002),49_12,49,12,451,45,34.1,8.8,15,49_11 49_12 49_13 49_14 49_15 49_16 49_17 49_18 50_14 50_16 51_13 51_14 51_15 51_16 51_17,"Gaussian-like: 58% monotonic, 15 bins"
190,(001),49_13,49,13,835,961,20.0,12.1,2,49_12 49_13,"Gaussian-like: 100% monotonic, 2 bins"
191,(001),49_14,49,14,873,510,21.0,7.5,23,47_15 48_11 48_12 48_15 49_12 49_13 49_14 49_15 49_16 49_17 49_18 49_19 50_12 50_13 50_15 50_16 50_18 50_19 51_12 51_16 51_17 51_18 51_19,"Gaussian-like: 52% monotonic, 23 bins"
192,(001),49_23,49,23,819,676,27.0,12.6,6,49_23 49_24 50_23 50_24 51_23 51_24,"Gaussian-like: 86% monotonic, 6 bins"
193,(001),49_27,49,27,821,672,11.0,6.1,3,49_25 49_26 49_27,"Gaussian-like: 100% monotonic, 3 bins"
194,(001),49_47,49,47,824,702,47.0,16.4,13,48_47 49_45 49_46 49_47 49_48 50_45 50_46 50_47 50_48 51_45 51_46 51_47 51_48,"Gaussian-like: 76% monotonic, 13 bins"
195,(111),50_4,50,4,383,619,107.0,16.1,85,44_4 44_5 44_8 45_0 45_3 45_4 45_5 45_7 45_8 45_9 46_0 46_1 46_10 46_2 46_3 46_4 46_5 46_6 46_7 46_8 46_9 47_0 47_1 47_11 47_2 47_4 47_5 47_6 47_7 47_8 47_9 48_0 48_1 48_10 48_11 48_2 48_3 48_4 48_5 48_6 48_7 48_8 48_9 49_0 49_1 49_10 49_2 49_3 49_4 49_5 49_6 49_7 49_8 49_9 50_0 50_10 50_11 50_12 50_13 50_14 50_16 50_2 50_3 50_4 50_5 50_6 50_7 50_8 50_9 51_0 51_1 51_10 51_12 51_14 51_15 51_16 51_17 51_18 51_2 51_4 51_5 51_6 51_7 51_8 51_9,"Gaussian-like: 64% monotonic, 85 bins"
196,(001),50_9,50,9,803,792,13.0,6.5,3,50_8 50_9 51_9,"Gaussian-like: 100% monotonic, 3 bins"
197,(011),50_9,50,9,558,851,17.0,6.5,5,50_9 51_10 51_11 51_12 51_9,"Gaussian-like: 80% monotonic, 5 bins"
